bartels,R1,R2,p,p_stat,p_time,p_syst,He,He_stat,He_time,He_syst,p/He,p/He_stat,p/He_time,p/He_syst
2426,1.00,1.16,9.531e+2,0.083e+2,0.206e+2,0.454e+2,,,,,,,,
2426,1.16,1.33,9.180e+2,0.048e+2,0.144e+2,0.344e+2,,,,,,,,
2426,1.33,1.51,8.543e+2,0.039e+2,0.101e+2,0.257e+2,,,,,,,,
2426,1.51,1.71,7.924e+2,0.027e+2,0.075e+2,0.214e+2,,,,,,,,
2426,1.71,1.92,7.044e+2,0.020e+2,0.057e+2,0.171e+2,,,,,,,,
2426,1.92,2.15,6.179e+2,0.017e+2,0.044e+2,0.136e+2,7.235e+1,0.064e+1,0.093e+1,0.172e+1,8.539,0.078,0.125,0.266
2426,2.15,2.40,5.329e+2,0.014e+2,0.034e+2,0.109e+2,6.668e+1,0.054e+1,0.072e+1,0.138e+1,7.992,0.068,0.100,0.221
2426,2.40,2.67,4.548e+2,0.011e+2,0.027e+2,0.087e+2,5.978e+1,0.045e+1,0.059e+1,0.113e+1,7.608,0.060,0.087,0.194
2426,2.67,2.97,3.846e+2,0.009e+2,0.022e+2,0.068e+2,5.317e+1,0.038e+1,0.051e+1,0.095e+1,7.234,0.054,0.080,0.174
2426,2.97,3.29,3.231e+2,0.008e+2,0.018e+2,0.055e+2,4.608e+1,0.031e+1,0.041e+1,0.079e+1,7.012,0.050,0.073,0.161
2426,3.29,3.64,2.700e+2,0.006e+2,0.015e+2,0.044e+2,3.942e+1,0.026e+1,0.032e+1,0.066e+1,6.850,0.048,0.068,0.153
2426,3.64,4.02,2.238e+2,0.005e+2,0.013e+2,0.036e+2,3.349e+1,0.022e+1,0.025e+1,0.055e+1,6.683,0.046,0.063,0.145
2426,4.02,4.43,1.850e+2,0.004e+2,0.011e+2,0.029e+2,2.820e+1,0.018e+1,0.020e+1,0.045e+1,6.561,0.044,0.060,0.139
2426,4.43,4.88,1.512e+2,0.003e+2,0.008e+2,0.024e+2,2.371e+1,0.014e+1,0.016e+1,0.038e+1,6.377,0.041,0.057,0.133
2426,4.88,5.37,1.230e+2,0.003e+2,0.007e+2,0.018e+2,1.972e+1,0.012e+1,0.013e+1,0.031e+1,6.238,0.039,0.053,0.127
